职位名称,详细链接,公司名称,工作地点,薪资,发布时间
['JAVA web开发工程师'],['https://jobs.51job.com/zhongyuanqu/114108052.html?s=01&t=0'],['上海子午线新荣科技有限公司'],['郑州-中原区'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou/110357827.html?s=01&t=0'],['许继信息智慧能源事业部'],['郑州'],['0.6-1万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/jinshuiqu/111746466.html?s=01&t=0'],['上海金仕达软件科技有限公司'],['郑州-金水区'],['1.1-1.8万/月'],['06-20']
['运维助理/实习生（JAVA方向）'],['https://jobs.51job.com/zhengzhou/111162643.html?s=01&t=0'],['郑州天之涯软件科技有限公司'],['郑州'],['3.8-7.8千/月'],['06-28']
['大数据实习生'],['https://jobs.51job.com/beijing-cpq/113856742.html?s=01&t=0'],['北京码农星球软件有限公司'],['异地招聘'],['7-9千/月'],['05-30']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou-gxq/93979552.html?s=01&t=0'],['郑州基正科技有限公司'],['郑州-高新区'],['5-8千/月'],['06-28']
['Android开发工程师'],['https://jobs.51job.com/zhengzhou/96037082.html?s=01&t=0'],['河南中钢网电子商务有限公司'],['郑州'],['0.6-1万/月'],['06-28']
['Java开发工程师-郑州'],['https://jobs.51job.com/zhengzhou/75272158.html?s=01&t=0'],['信雅达系统工程股份有限公司'],['郑州'],['4-7千/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou/113304871.html?s=01&t=0'],['河南海融软件有限公司'],['郑州'],['0.7-1万/月'],['06-27']
['高级JAVA工程师'],['https://jobs.51job.com/zhengzhou/111588932.html?s=01&t=0'],['东华软件股份公司'],['郑州'],['0.8-1.5万/月'],['06-27']
